nodeName	altName	nodeAttr[nodesPresent, ]
IL4	NA	grey
IL5	NA	grey
IL6	NA	grey
IL7	NA	grey
IQGAP2	NA	grey
IRAK1	NA	grey
IRAK4	NA	grey
IRF9	NA	grey
ITGA11	NA	grey
ITGA6	NA	grey
ITGB1BP2	NA	grey
ITGB6	NA	grey
ITGB7	NA	grey
IgG.Fc.receptor.II-b	NA	grey
KIF1BP	NA	grey
KIM1	NA	grey
KIR2DL3	NA	grey
KLB	NA	grey
KLK12	NA	grey
KPNA1	NA	grey
KRT19	NA	grey
LAG3	NA	grey
LAMP3	NA	grey
LAP.TGF-beta-1	NA	grey
LAT	NA	grey
LEP	NA	grey
LEPR	NA	grey
LGALS7	NA	grey
LIF	NA	grey
LRMP	NA	grey
LXN	NA	grey
LY75	NA	grey
LYAR	NA	grey
LYPD1	NA	grey
MASP1	NA	grey
MCP-3	NA	grey
MCP-4	NA	grey
MEP1B	NA	grey
MIC-A/B	NA	grey
MMP12	NA	grey
MOG	NA	grey
MRC2	NA	grey
MUC-16	NA	grey
NCLN	NA	grey
NCR1	NA	grey
NEMO	NA	grey
NF2	NA	grey
NFATC1	NA	grey
NFATC3	NA	grey
NINJ1	NA	grey
NRTN	NA	grey
NT-3	NA	grey
NTF4	NA	grey
OMG	NA	grey
OPTC	NA	grey
OSM	NA	grey
PADI2	NA	grey
PAEP	NA	grey
PAK4	NA	grey
PIK3AP1	NA	grey
PLA2G10	NA	grey
PLIN1	NA	grey
PMVK	NA	grey
PRKCQ	NA	grey
PROK1	NA	grey
PRTFDC1	NA	grey
PSG1	NA	grey
PTN	NA	grey
PTX3	NA	grey
RGS8	NA	grey
RNF31	NA	grey
RPS6KB1	NA	grey
S100P	NA	grey
SEMA4C	NA	grey
SERPINA12	NA	grey
SH2B3	NA	grey
SH2D1A	NA	grey
SIGLEC6	NA	grey
SIT1	NA	grey
SKAP1	NA	grey
SLAMF1	NA	grey
SLAMF7	NA	grey
SNAP23	NA	grey
ST1A1	NA	grey
STK4	NA	grey
STX16	NA	grey
SULT2A1	NA	grey
TACC3	NA	grey
TACSTD2	NA	grey
TANK	NA	grey
TCL1A	NA	grey
TCL1B	NA	grey
THPO	NA	grey
THY.1	NA	grey
TNF	NA	grey
TNFB	NA	grey
TNFSF14	NA	grey
TP53	NA	grey
TPSAB1	NA	grey
TRAF2	NA	grey
TRANCE	NA	grey
TRIM21	NA	grey
TRIM5	NA	grey
TSHB	NA	grey
TSLP	NA	grey
UBE2F	NA	grey
VAMP5	NA	grey
VEGFR-3	NA	grey
VIM	NA	grey
VSIG2	NA	grey
VSTM1	NA	grey
WASF3	NA	grey
WFIKKN1	NA	grey
WNT9A	NA	grey
XPNPEP2	NA	grey
sFRP-3	NA	grey
