Protein,Group_Col,Group1,Group2,Group1_vs_Group2,F_P_Value,Log2_Fold_Change,Beta_Coefficient,Q_Value,Significant
ANXA11,Group,CJD,CTRL,CJD vs CTRL,0.011415480498322764,0.2815726984126985,0.2659126530058634,0.06578552391296633,False
ANXA4,Group,CJD,CTRL,CJD vs CTRL,0.7771726337694973,0.014961560846560862,0.01153621568598092,0.9196831315728128,False
AOC1,Group,CJD,CTRL,CJD vs CTRL,0.3035254002964803,0.1120685582010582,0.11667335305833669,0.6117954459584102,False
APBB1IP,Group,CJD,CTRL,CJD vs CTRL,0.2539637050135728,0.06533920634920642,0.06070449558683655,0.5546973770781516,False
APEX1,Group,CJD,CTRL,CJD vs CTRL,4.0896690722889994e-16,2.2317993386243384,2.245930121657964,4.1788028854029903e-14,True
APLP1,Group,CJD,CTRL,CJD vs CTRL,0.04498726548057248,0.0842923015873005,0.09258784398077674,0.1885113069822096,False
AREG,Group,CJD,CTRL,CJD vs CTRL,0.5142988404892688,0.003894034391534462,-0.03589321184243004,0.7844902887463104,False
ARG1,Group,CJD,CTRL,CJD vs CTRL,0.3720744552987517,0.19025021164021183,0.17568155638845034,0.6761134801850878,False
ARHGAP1,Group,CJD,CTRL,CJD vs CTRL,0.056513507267600877,0.12449912698412713,0.1147055246587665,0.2222065381957469,False
ARHGEF12,Group,CJD,CTRL,CJD vs CTRL,6.170143962643557e-12,0.7926053968253977,0.7978879355672381,2.832254782482329e-10,True
ARNT,Group,CJD,CTRL,CJD vs CTRL,0.5009012530081713,0.05910071428571406,0.049579739208299195,0.7729299102565588,False
ARSB,Group,CJD,CTRL,CJD vs CTRL,0.03691559607774707,-0.14511095238095217,-0.13542279305078836,0.16309163012175396,False
ARTN,Group,CJD,CTRL,CJD vs CTRL,0.6837033453401468,-0.03281904761904797,-0.03127722782995317,0.8838792639677161,False
ASGR1,Group,CJD,CTRL,CJD vs CTRL,0.17399970236790227,0.055860793650793716,0.04407305428327494,0.44654848306319667,False
ATG4A,Group,CJD,CTRL,CJD vs CTRL,0.8858597420315807,0.011124444444444437,0.008535229780464077,0.9662381475286299,False
ATP6AP2,Group,CJD,CTRL,CJD vs CTRL,0.008232356424618469,-0.25550533068783066,-0.26867244823573,0.05154114745028216,False
ATP6V1F,Group,CJD,CTRL,CJD vs CTRL,0.012132920254189383,0.11969332010581946,0.130373249032244,0.06862979022419403,False
AXIN1,Group,CJD,CTRL,CJD vs CTRL,0.3959283146568656,0.05336277777777787,0.03738253959478359,0.6960117082353944,False
Alpha-2-MRAP,Group,CJD,CTRL,CJD vs CTRL,0.018870077171069328,-0.21593374338624338,-0.2541702793154855,0.09784939170684616,False
BACH1,Group,CJD,CTRL,CJD vs CTRL,0.43577289924790963,0.05578130952380955,0.040326431630112,0.7278101439660184,False
BAG6,Group,CJD,CTRL,CJD vs CTRL,4.7273334510342736e-07,0.3170253174603175,0.31433078150256133,8.865140612880744e-06,True
BAMBI,Group,CJD,CTRL,CJD vs CTRL,0.011860062178408045,-0.18474555555555527,-0.2057134149252173,0.06761423144628907,False
BANK1,Group,CJD,CTRL,CJD vs CTRL,0.0744980411645322,0.17075826719576748,0.16188768504362064,0.26506669110773284,False
BCAN,Group,CJD,CTRL,CJD vs CTRL,0.022748169792619007,-0.06386582010582131,-0.0652146147646897,0.1133851865210591,False
BCL2L11,Group,CJD,CTRL,CJD vs CTRL,0.020427001953243644,-0.0722715079365086,-0.08542576398517357,0.10436102920984093,False
BCR,Group,CJD,CTRL,CJD vs CTRL,0.5351803659273799,0.03472119047619038,0.032760875333873715,0.7981638316693896,False
BGN,Group,CJD,CTRL,CJD vs CTRL,0.08864005327349614,0.08902412698412693,0.07808609857163082,0.2957142003305836,False
BID,Group,CJD,CTRL,CJD vs CTRL,0.7573929372664088,-0.01692343915343919,-0.015416871980505745,0.912456415973161,False
BIRC2,Group,CJD,CTRL,CJD vs CTRL,0.9164362722334832,0.009625582010582001,0.00486334915205894,0.9755572445172781,False
BMP-4,Group,CJD,CTRL,CJD vs CTRL,0.01206694649308864,-0.30377984126984137,-0.3343755788103566,0.06831534935627293,False
BMP-6,Group,CJD,CTRL,CJD vs CTRL,0.22797345102757086,-0.09294330687830765,-0.1215149266354468,0.5206155887363151,False
BNP,Group,CJD,CTRL,CJD vs CTRL,0.5382192657919392,-0.02006177248677246,-0.028064270310065424,0.8003558183316745,False
BOC,Group,CJD,CTRL,CJD vs CTRL,0.42040673418829944,-0.01499724867724872,-0.05540902513049219,0.7166345052373236,False
BST2,Group,CJD,CTRL,CJD vs CTRL,0.6256706237379597,0.060251640211640214,0.03542240798643492,0.8510999950830412,False
BTC,Group,CJD,CTRL,CJD vs CTRL,0.15348233935924177,-0.17034212962962958,-0.1731993346463797,0.41859831432943084,False
BTN3A2,Group,CJD,CTRL,CJD vs CTRL,0.13426898921384933,-0.09011437830687785,-0.1402349385085403,0.38618687983918415,False
Beta-NGF,Group,CJD,CTRL,CJD vs CTRL,0.13939673509775605,0.02941941798941805,0.02736836586619656,0.39378132013134487,False
CA12,Group,CJD,CTRL,CJD vs CTRL,0.7106618452136374,0.01389719576719578,0.022567637832917986,0.8960466550215265,False
CA13,Group,CJD,CTRL,CJD vs CTRL,2.2961649401102894e-09,0.6307626984126984,0.610702270457044,6.777938730621853e-08,True
CA14,Group,CJD,CTRL,CJD vs CTRL,0.018495734946670478,-0.21834218253968274,-0.2355344367924621,0.09632428977444084,False
CA5A,Group,CJD,CTRL,CJD vs CTRL,0.08695039740008084,0.10765351851851857,0.11976306200911588,0.2916543425812665,False
CADM3,Group,CJD,CTRL,CJD vs CTRL,2.7378459684467308e-05,-0.20824923280423224,-0.23302335617946718,0.0003717313861758168,True
CAIX,Group,CJD,CTRL,CJD vs CTRL,6.961423307990104e-14,1.383085727513226,1.3421771374215905,4.585334195428192e-12,True
CALCA,Group,CJD,CTRL,CJD vs CTRL,0.0008835341816701412,0.4622761904761896,0.45282206049625356,0.008103299686894161,True
CALR,Group,CJD,CTRL,CJD vs CTRL,0.35764517527315676,0.09699125661375654,0.0885594534983386,0.6607399274286182,False
CAMKK1,Group,CJD,CTRL,CJD vs CTRL,1.1630793259989258e-10,0.8406292063492063,0.8405343850603159,4.3115080131215995e-09,True
CANT1,Group,CJD,CTRL,CJD vs CTRL,0.5329296495283645,-0.03279462962963109,-0.06550634560891092,0.7967453210919274,False
CAPG,Group,CJD,CTRL,CJD vs CTRL,1.4723776458475683e-11,0.9070774470899472,0.9046044864131676,6.241941402875063e-10,True
CARHSP1,Group,CJD,CTRL,CJD vs CTRL,0.32174389537147186,0.046022433862433765,0.06226077644337952,0.6292757904565964,False
CASP-8,Group,CJD,CTRL,CJD vs CTRL,0.0001237340798168708,0.2637930291005288,0.24591959806410027,0.0014588174794977222,True
CBL,Group,CJD,CTRL,CJD vs CTRL,0.021605861329603675,0.1682935714285715,0.15762042849191288,0.10905555085303438,False
CCDC80,Group,CJD,CTRL,CJD vs CTRL,1.7686067247441578e-12,1.2150688888888883,1.1708266910578926,9.153114023513596e-11,True
CCL11,Group,CJD,CTRL,CJD vs CTRL,0.10256515615884845,-0.08521025132275128,-0.12516662443068205,0.3269777178344088,False
CCL17,Group,CJD,CTRL,CJD vs CTRL,0.5910256647841622,-0.04298941798941747,-0.08831827247072647,0.8317888958401032,False
CCL19,Group,CJD,CTRL,CJD vs CTRL,0.01524217673680623,-0.5816821957671969,-0.70360907265411,0.08286503996749363,False
CCL20,Group,CJD,CTRL,CJD vs CTRL,0.7318449319819004,-0.018100568783068927,-0.0334438544743747,0.9028677798766234,False
CCL23,Group,CJD,CTRL,CJD vs CTRL,4.313146615732813e-07,0.7925923280423279,0.7340729026247964,8.184709173188218e-06,True
CCL25,Group,CJD,CTRL,CJD vs CTRL,0.12434279463163198,0.13870006613756647,0.09255722547112814,0.3688172955765191,False
CCL27,Group,CJD,CTRL,CJD vs CTRL,0.521206882205989,-0.02558212962962969,-0.03280179260864463,0.7881837202614829,False
CCL28,Group,CJD,CTRL,CJD vs CTRL,0.022610166827149704,0.1584994576719575,0.12774416674454503,0.11305083413574851,False
CCL3,Group,CJD,CTRL,CJD vs CTRL,3.677548690870668e-13,0.9718392592592595,0.9360273421690759,2.064088948326706e-11,True
CCL4,Group,CJD,CTRL,CJD vs CTRL,0.002277450987494114,0.3908951322751322,0.363016151837129,0.018151284370328088,True
CD160,Group,CJD,CTRL,CJD vs CTRL,0.25315340637934997,-0.06442596560846561,-0.0989795904093976,0.5533825147678056,False
CD164,Group,CJD,CTRL,CJD vs CTRL,0.14523050157860817,0.0745858465608471,0.06668577550262089,0.40457430883659806,False
CD1C,Group,CJD,CTRL,CJD vs CTRL,0.6483498334827488,-0.031036296296296173,-0.032976762524246174,0.8646768859213582,False
CD200,Group,CJD,CTRL,CJD vs CTRL,0.0008212246998627109,-0.38944285714285876,-0.41583570185535385,0.007664122784433028,True
CD200R1,Group,CJD,CTRL,CJD vs CTRL,0.38149529366378576,0.0561120370370371,0.03724232074514415,0.6848012365991829,False
CD207,Group,CJD,CTRL,CJD vs CTRL,0.7850230125172692,0.03155862433862411,0.022918049486836456,0.9243069005410897,False
CD244,Group,CJD,CTRL,CJD vs CTRL,0.39699749938704143,-0.018925939153439153,-0.040759108481480164,0.6970852765178939,False
CD27,Group,CJD,CTRL,CJD vs CTRL,0.36399659247774063,0.14692787037037025,0.12050480620799439,0.6676761431640029,False
CD28,Group,CJD,CTRL,CJD vs CTRL,0.9877728707594955,0.002600529100528992,0.000741767650478984,0.9962802111588146,False
CD2AP,Group,CJD,CTRL,CJD vs CTRL,0.01600091797691351,0.32773632275132275,0.290660816290111,0.08605082069905577,False
CD302,Group,CJD,CTRL,CJD vs CTRL,0.550776874253601,-0.06931776455026295,-0.08503847836619921,0.8069744766988209,False
CD33,Group,CJD,CTRL,CJD vs CTRL,0.4710087827581816,0.08987071428571425,0.06859907702624529,0.7538706868184095,False
CD38,Group,CJD,CTRL,CJD vs CTRL,0.11720446953209925,-0.17706981481481465,-0.25011988924911815,0.3534124169624796,False
CD4,Group,CJD,CTRL,CJD vs CTRL,0.0006256214773214833,0.27393473544973546,0.24564931979104895,0.006029266232469434,True
CD40,Group,CJD,CTRL,CJD vs CTRL,1.847408905480834e-05,0.4469722883597873,0.4287943213332163,0.00026152484860892094,True
CD40-L,Group,CJD,CTRL,CJD vs CTRL,0.23354747740111206,-0.07507865079365084,-0.06766256702416458,0.5288652320455871,False
CD48,Group,CJD,CTRL,CJD vs CTRL,0.058985091084857964,0.21033477513227483,0.17187312790429243,0.22854213706675644,False
CD5,Group,CJD,CTRL,CJD vs CTRL,0.7602924497613549,-0.03855294973544987,-0.02863395315884693,0.9136511697678483,False
CD6,Group,CJD,CTRL,CJD vs CTRL,0.394967859369474,0.03760595238095232,0.04250992166681848,0.6955134421508413,False
CD63,Group,CJD,CTRL,CJD vs CTRL,0.0002624744845201537,0.24635223544973534,0.22228540527978785,0.0028921595196116003,True
CD70,Group,CJD,CTRL,CJD vs CTRL,0.27173813018592274,0.12171230158730162,0.1178360793868245,0.5780234301322257,False
CD79B,Group,CJD,CTRL,CJD vs CTRL,0.026637382845723465,0.2486152116402116,0.2243465813228173,0.12797197171228064,False
CD83,Group,CJD,CTRL,CJD vs CTRL,0.21721678174193063,0.15675599206349222,0.11752279373140276,0.5050226810044304,False
CD84,Group,CJD,CTRL,CJD vs CTRL,4.697408612668452e-08,0.3151474603174602,0.3092855947214011,1.0671585629541173e-06,True
CD8A,Group,CJD,CTRL,CJD vs CTRL,0.08592141336295885,-0.20836183862433866,-0.21391610113056325,0.28935708388371223,False
CDCP1,Group,CJD,CTRL,CJD vs CTRL,0.027301598942012173,0.17608138888888947,0.19652406071929157,0.1299843151540245,False
CDH15,Group,CJD,CTRL,CJD vs CTRL,6.19897436508665e-05,-0.6102033994708984,-0.6555694905622841,0.0007910932272267697,True
CDH17,Group,CJD,CTRL,CJD vs CTRL,0.3132467058689542,0.039496362433862675,0.03773740651408668,0.6216574317170231,False
CDH2,Group,CJD,CTRL,CJD vs CTRL,0.10955986444434863,-0.1131376455026456,-0.14407800405852156,0.3391037357753237,False
CDH3,Group,CJD,CTRL,CJD vs CTRL,0.04848794020157957,-0.10227268518518606,-0.10554633879964206,0.19920045536422123,False
CDH6,Group,CJD,CTRL,CJD vs CTRL,3.644700761415841e-06,-0.4188479497354498,-0.45169996101351806,5.868336377471566e-05,True
CDHR5,Group,CJD,CTRL,CJD vs CTRL,0.7686507433899864,-0.0055094708994708474,-0.01775809323797059,0.9154573008646754,False
CDKN1A,Group,CJD,CTRL,CJD vs CTRL,0.06706986446256993,0.11791349206349205,0.11529712395466192,0.24827999060226771,False
CDNF,Group,CJD,CTRL,CJD vs CTRL,0.05261024339395148,-0.07849531746031746,-0.09657915315326943,0.21059951775479321,False
CDSN,Group,CJD,CTRL,CJD vs CTRL,0.37276377826751084,-0.05032932539682533,-0.08447488575419371,0.6765130943499422,False
CEACAM1,Group,CJD,CTRL,CJD vs CTRL,0.025646738124079606,0.19051044973544995,0.16970521355888987,0.12448508090676885,False
CEACAM3,Group,CJD,CTRL,CJD vs CTRL,0.1567882241740687,0.054926005291005886,0.05961670230491324,0.4237480742837011,False
CEACAM5,Group,CJD,CTRL,CJD vs CTRL,0.1395774440867063,-0.18190957671957664,-0.21281164823786194,0.39378132013134487,False
CEACAM8,Group,CJD,CTRL,CJD vs CTRL,0.44367064650331234,0.07354740740740741,0.056287935418601096,0.7338921172168508,False
CES2,Group,CJD,CTRL,CJD vs CTRL,0.6433746008996699,0.02830488095238093,0.02539211733160126,0.861507234267839,False
CETN2,Group,CJD,CTRL,CJD vs CTRL,0.0015649820392524493,0.13204935185185218,0.13427137817812335,0.013086232130652846,True
CFC1,Group,CJD,CTRL,CJD vs CTRL,4.9462021391379304e-05,-0.3471742063492065,-0.3932519761679826,0.0006420395936307704,True
CHRDL2,Group,CJD,CTRL,CJD vs CTRL,0.0006545651326381247,-0.32858288359788373,-0.3522675842522061,0.006285402538705848,True
CKAP4,Group,CJD,CTRL,CJD vs CTRL,0.05869775814763231,-0.13406587301587258,-0.18484720316978445,0.2277211127002913,False
CLEC10A,Group,CJD,CTRL,CJD vs CTRL,0.6687333626601837,-0.0077495502645502645,-0.049528673261563676,0.8760363084157896,False
CLEC1A,Group,CJD,CTRL,CJD vs CTRL,0.9748949914059263,0.03940359788359782,-0.0022773852374477765,0.9927064113332352,False
CLEC1B,Group,CJD,CTRL,CJD vs CTRL,0.1537851848514333,0.15453026455026442,0.12391702228924177,0.4190317686379226,False
CLEC4A,Group,CJD,CTRL,CJD vs CTRL,0.47809222270257024,0.058027407407407194,0.0357116678040102,0.7579241757974852,False
CLEC4C,Group,CJD,CTRL,CJD vs CTRL,0.360011885899129,-0.04325576719576718,-0.04811362886212507,0.6632243020067765,False
CLEC4D,Group,CJD,CTRL,CJD vs CTRL,0.8561968776185503,0.005637037037037329,-0.00875695552552509,0.9528847283721489,False
CLEC4G,Group,CJD,CTRL,CJD vs CTRL,0.9318497120548657,0.0034227910052907484,0.003990143621526849,0.9792691599812164,False
CLEC5A,Group,CJD,CTRL,CJD vs CTRL,1.2766121550438166e-14,1.4004661111111112,1.348439942259552,9.334494381375429e-13,True
CLEC6A,Group,CJD,CTRL,CJD vs CTRL,0.14127167593397394,0.14215148148148143,0.13137870554010406,0.3964560764766804,False
CLEC7A,Group,CJD,CTRL,CJD vs CTRL,0.2349104706021706,0.18254414021164056,0.134689717132693,0.5293289371499292,False
CLM-1,Group,CJD,CTRL,CJD vs CTRL,0.007004149500762549,0.4638925396825391,0.4196316678308886,0.045091334023487493,True
CLM-6,Group,CJD,CTRL,CJD vs CTRL,0.0015208479867453025,0.4147546031746039,0.3772935800398025,0.012772558961391003,True
CLMP,Group,CJD,CTRL,CJD vs CTRL,0.2078670980124833,-0.10582616402116374,-0.1594560608653114,0.49314052708275896,False
CLSPN,Group,CJD,CTRL,CJD vs CTRL,0.12555814570563426,0.07064107142857134,0.0715848579862926,0.3706290449162611,False
CLSTN1,Group,CJD,CTRL,CJD vs CTRL,0.00028924747502588675,-0.17897379629629628,-0.18830589782212714,0.0031322043151580403,True
CLSTN2,Group,CJD,CTRL,CJD vs CTRL,0.054870890264568026,-0.21651915343915462,-0.27349608046052964,0.21681754854169916,False
CLSTN3,Group,CJD,CTRL,CJD vs CTRL,0.003424911559131555,-0.30869222222222126,-0.3429369960254614,0.025415777584989283,True
CLUL1,Group,CJD,CTRL,CJD vs CTRL,0.14100327053809955,-0.14863253968253787,-0.19110085013014289,0.39634919600507074,False
CNTN2,Group,CJD,CTRL,CJD vs CTRL,0.15732378316254347,-0.02929633597883541,-0.029168531799303177,0.4237480742837011,False
CNTN5,Group,CJD,CTRL,CJD vs CTRL,2.583635913068239e-05,-0.5359563095238098,-0.5636146924014089,0.00035320031264414865,True
CNTNAP2,Group,CJD,CTRL,CJD vs CTRL,1.601792772726586e-05,-0.5394853042328052,-0.5663360429606763,0.00022837725221164383,True
COL4A1,Group,CJD,CTRL,CJD vs CTRL,0.1096978457608028,0.25871063492063584,0.20387707890732443,0.33939900260621053,False
COL4A3BP,Group,CJD,CTRL,CJD vs CTRL,0.09206452335079113,0.08972728835978816,0.07751389342496269,0.3042098885181614,False
COMT,Group,CJD,CTRL,CJD vs CTRL,0.3991172558106687,0.1622927248677249,0.1357742872683149,0.6995743410624652,False
CPA2,Group,CJD,CTRL,CJD vs CTRL,0.028407407882698334,-0.240772301587302,-0.2640714109148259,0.13341605234243117,False
CPE,Group,CJD,CTRL,CJD vs CTRL,0.16604105930275664,-0.0808711507936497,-0.12056566219230436,0.43658547196712816,False
CPM,Group,CJD,CTRL,CJD vs CTRL,0.4679426309772434,-0.07453944444444449,-0.08197892964710565,0.7527173593261262,False
CPXM1,Group,CJD,CTRL,CJD vs CTRL,0.12700526999134573,-0.23658325396825264,-0.23878979615255833,0.37351734384908686,False
CRADD,Group,CJD,CTRL,CJD vs CTRL,1.4684389399436236e-08,0.40090395502645504,0.40365941772448616,3.7511084459457305e-07,True
CRH,Group,CJD,CTRL,CJD vs CTRL,0.531558610996555,0.1032358068783068,0.1057728963654281,0.7952923089248252,False
CRIP2,Group,CJD,CTRL,CJD vs CTRL,0.401483106482009,0.1578540476190473,0.12214971902470087,0.7012930750279548,False
CRISP2,Group,CJD,CTRL,CJD vs CTRL,0.0013938247798311826,-0.2665058730158738,-0.3195149713106009,0.01193209827632065,True
CRKL,Group,CJD,CTRL,CJD vs CTRL,4.322278098986407e-23,2.738105079365079,2.7229624688693557,1.6404074499486506e-20,True
CRNN,Group,CJD,CTRL,CJD vs CTRL,0.7652616633843756,0.02563003968253963,0.020859532878307996,0.9154573008646754,False
CRTAM,Group,CJD,CTRL,CJD vs CTRL,0.77477081842716,0.022451587301587417,0.014484034360592708,0.918413898237839,False
CRX,Group,CJD,CTRL,CJD vs CTRL,0.797932141383306,-0.014198730158730077,0.012089916283679343,0.930706741815447,False
CSF-1,Group,CJD,CTRL,CJD vs CTRL,0.523031727292125,0.08227421957672032,0.057518574067345035,0.7893452157044564,False
CSNK1D,Group,CJD,CTRL,CJD vs CTRL,0.5330431546844465,0.018893161375661105,0.022958895361068175,0.7967655556704873,False
CST5,Group,CJD,CTRL,CJD vs CTRL,0.6397698674364245,0.024738571428572165,0.014601008193803985,0.8592666780719597,False
CTF1,Group,CJD,CTRL,CJD vs CTRL,0.6703734625506672,0.010288915343915406,0.01721339596681383,0.8768876573984601,False
CTRC,Group,CJD,CTRL,CJD vs CTRL,0.7865383250961949,0.02501666666666691,0.035348694802636416,0.9247679471455382,False
CTSC,Group,CJD,CTRL,CJD vs CTRL,0.06835886590439177,0.2222134126984141,0.1911656017480895,0.25188172041516527,False
CTSH,Group,CJD,CTRL,CJD vs CTRL,0.9829483403516655,0.05092267195767075,0.004140404625407268,0.9943964259385756,False
CTSL1,Group,CJD,CTRL,CJD vs CTRL,0.18267642278951918,0.08083087301587266,0.07157689076039467,0.45885001249053514,False
CTSO,Group,CJD,CTRL,CJD vs CTRL,0.4231327206135743,0.1317116931216935,0.11780340756279711,0.7188763035848157,False
CTSS,Group,CJD,CTRL,CJD vs CTRL,0.6883237687776445,-0.023151177248678323,-0.03261414798354745,0.8866574649620078,False
CTSV,Group,CJD,CTRL,CJD vs CTRL,4.675104743990299e-05,-0.4146707671957671,-0.4102522413185459,0.0006108292591738145,True
CX3CL1,Group,CJD,CTRL,CJD vs CTRL,0.8009202243045698,0.045582182539682534,0.020096355203179705,0.9322108408716625,False
CXADR,Group,CJD,CTRL,CJD vs CTRL,0.0002873175771741248,-0.42302880952380884,-0.44912290832084845,0.0031281749793195556,True
CXCL1,Group,CJD,CTRL,CJD vs CTRL,0.42863005970041945,0.18416552910052975,0.11792126036314222,0.7229367868113016,False
CXCL10,Group,CJD,CTRL,CJD vs CTRL,0.8563443057324935,0.023203478835979396,-0.038883063679095164,0.9528847283721489,False
CXCL11,Group,CJD,CTRL,CJD vs CTRL,0.13780855485721755,-0.22903961640211634,-0.2678293117404372,0.39107932484086405,False
CXCL12,Group,CJD,CTRL,CJD vs CTRL,0.24148446763175624,-0.07002787037037038,-0.07802777850813548,0.5365573479300522,False
CXCL13,Group,CJD,CTRL,CJD vs CTRL,0.7542033642305438,0.0225847883597885,-0.03639391202573848,0.910757698926884,False
CXCL5,Group,CJD,CTRL,CJD vs CTRL,0.1660919767331121,-0.09979804232804224,-0.1531460501539706,0.43658547196712816,False
CXCL6,Group,CJD,CTRL,CJD vs CTRL,0.4054356477480494,-0.050985634920635015,-0.15981574176255453,0.7054715743163034,False
CXCL9,Group,CJD,CTRL,CJD vs CTRL,0.6138866447734213,0.23518698412698402,0.08159559459650315,0.8445565259811918,False
CXL17,Group,CJD,CTRL,CJD vs CTRL,0.8723467789645257,0.039831785714285806,0.008741149931652273,0.9593768219052394,False
CYR61,Group,CJD,CTRL,CJD vs CTRL,0.1959226942112084,-0.08368203703703725,-0.15325224184275205,0.4759231553987598,False
DAB2,Group,CJD,CTRL,CJD vs CTRL,0.24344571763607098,0.08587428571428574,0.07521269731206943,0.5394937728263985,False
DAPP1,Group,CJD,CTRL,CJD vs CTRL,0.9655496103751221,0.011480820105820189,-0.0031268153241485117,0.9903460840290791,False
DCBLD2,Group,CJD,CTRL,CJD vs CTRL,0.16710515431432726,-0.10655309523809509,-0.1479998717366811,0.4370128229888649,False
DCN,Group,CJD,CTRL,CJD vs CTRL,0.12926433882626134,0.09782656084656072,0.08604497030449997,0.37682398699535585,False
DCTN1,Group,CJD,CTRL,CJD vs CTRL,4.1447735570007295e-06,0.39870944444444445,0.383484880540467,6.646648943520284e-05,True
